source,target,gold_pos,gold_neg,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,tp,fp,tn,fn
Pilkwang LLM,ACL,23,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,0,34,0
Pilkwang LLM,MCL,9,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,0,48,0
Pilkwang LLM,Medial Meniscus,26,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26,0,31,0
Pilkwang LLM,Lateral Meniscus,23,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,0,34,0
Pilkwang LLM,Medial OA,15,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,42,0
Pilkwang LLM,Lateral OA,11,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,0,46,0
Pilkwang LLM,PF OA,20,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,0,37,0
Pilkwang LLM,Effusion,34,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34,0,23,0
Pilkwang LLM,Synovitis,27,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,0,30,0
Pilkwang LLM,Baker's,12,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0,45,0
Pilkwang LLM,Contusion,18,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,0,39,0
Pilkwang LLM,Fracture,17,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,0,40,0
Steven Lee Hans LLM,ACL,24,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,34,0
Steven Lee Hans LLM,MCL,9,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,0,49,0
Steven Lee Hans LLM,Medial Meniscus,26,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26,0,32,0
Steven Lee Hans LLM,Lateral Meniscus,23,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,0,35,0
Steven Lee Hans LLM,Medial OA,15,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,43,0
Steven Lee Hans LLM,Lateral OA,11,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,0,47,0
Steven Lee Hans LLM,PF OA,21,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0,37,0
Steven Lee Hans LLM,Effusion,35,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,0,23,0
Steven Lee Hans LLM,Synovitis,27,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,0,31,0
Steven Lee Hans LLM,Baker's,12,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,0,46,0
Steven Lee Hans LLM,Contusion,19,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,0,39,0
Steven Lee Hans LLM,Fracture,18,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,0,40,0
GPT-5.6-Sol LLM,ACL,24,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,34,0
GPT-5.6-Sol LLM,MCL,9,49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,0,49,0
GPT-5.6-Sol LLM,Medial Meniscus,26,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26,0,32,0
GPT-5.6-Sol LLM,Lateral Meniscus,23,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,0,35,0
GPT-5.6-Sol LLM,Medial OA,15,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,0,43,0
GPT-5.6-Sol LLM,Lateral OA,11,47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,0,47,0
GPT-5.6-Sol LLM,PF OA,21,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0,37,0
