target,gold_pos,gold_neg,v2_cov,v3_cov,cov_delta,v2_prec,v3_prec,prec_delta,v2_rec,v3_rec,rec_delta,v2_f1,v3_f1,f1_delta,holdout_v2_rec,holdout_v3_rec,holdout_v2_prec,holdout_v3_prec
ACL,24,34,0.3448275862068966,0.43103448275862066,0.08620689655172409,0.9,0.8235294117647058,-0.07647058823529418,0.375,0.5833333333333334,0.20833333333333337,0.5294117647058825,0.6829268292682927,0.15351506456241026,0.5,0.5,0.8,0.6666666666666666
MCL,9,49,0.1206896551724138,0.46551724137931033,0.3448275862068965,0.6666666666666666,0.6363636363636364,-0.030303030303030276,0.2222222222222222,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.7000000000000001,0.36666666666666675,0.25,0.75,1.0,0.6
Medial Meniscus,26,32,0.13793103448275862,0.4482758620689655,0.3103448275862069,0.8333333333333334,0.8333333333333334,0.0,0.19230769230769232,0.38461538461538464,0.19230769230769232,0.3125,0.5263157894736842,0.21381578947368418,0.09090909090909091,0.5454545454545454,1.0,0.8571428571428571
Lateral Meniscus,23,35,0.13793103448275862,0.5689655172413793,0.4310344827586207,1.0,0.7333333333333333,-0.2666666666666667,0.08695652173913043,0.4782608695652174,0.391304347826087,0.16,0.5789473684210527,0.4189473684210526,0.08333333333333333,0.5,1.0,0.75
Medial OA,15,43,0.20689655172413793,0.3448275862068966,0.13793103448275865,0.8,0.8333333333333334,0.033333333333333326,0.5333333333333333,0.3333333333333333,-0.2,0.64,0.47619047619047616,-0.16380952380952385,0.42857142857142855,0.2857142857142857,1.0,0.6666666666666666
Lateral OA,11,47,0.1896551724137931,0.25862068965517243,0.06896551724137934,0.5,0.6666666666666666,0.16666666666666663,0.2727272727272727,0.18181818181818182,-0.09090909090909088,0.3529411764705882,0.28571428571428575,-0.06722689075630245,0.14285714285714285,0.14285714285714285,1.0,0.5
PF OA,21,37,0.25862068965517243,0.3103448275862069,0.051724137931034475,0.6,1.0,0.4,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.3870967741935483,0.5,0.11290322580645168,0.125,0.375,0.3333333333333333,1.0
Effusion,35,23,0.5689655172413793,0.6551724137931034,0.08620689655172409,0.6666666666666666,0.65625,-0.01041666666666663,0.34285714285714286,0.6,0.2571428571428571,0.4528301886792453,0.626865671641791,0.17403548296254567,0.3076923076923077,0.6153846153846154,0.6666666666666666,0.6666666666666666
Synovitis,27,31,0.27586206896551724,0.25862068965517243,-0.017241379310344807,0.75,0.7333333333333333,-0.01666666666666672,0.4444444444444444,0.4074074074074074,-0.037037037037037035,0.5581395348837209,0.5238095238095238,-0.034330011074197087,0.7272727272727273,0.6363636363636364,1.0,1.0
Baker's,12,46,0.25862068965517243,0.29310344827586204,0.03448275862068961,0.7777777777777778,0.6666666666666666,-0.11111111111111116,0.5833333333333334,0.6666666666666666,0.08333333333333326,0.6666666666666666,0.6666666666666666,0.0,0.5,0.75,1.0,0.75
Contusion,19,39,0.39655172413793105,0.39655172413793105,0.0,0.4666666666666667,0.5263157894736842,0.05964912280701751,0.3684210526315789,0.5263157894736842,0.15789473684210525,0.4117647058823529,0.5263157894736842,0.11455108359133126,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333
Fracture,18,40,0.3793103448275862,0.3103448275862069,-0.06896551724137928,0.8,0.9090909090909091,0.10909090909090902,0.6666666666666666,0.5555555555555556,-0.11111111111111105,0.7272727272727272,0.6896551724137931,-0.03761755485893403,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.0
