Target,V40_AUC,V41_25D_AUC,V41_MultiSeries_AUC,V41_ConvNeXt_AUC,V41_Ensemble_AUC,Delta,V40_Weight,V41_25D_Weight,V41_MS_Weight,V41_Conv_Weight,V40_Correlation
ACL,1.0,0.9963235294117647,0.9889705882352942,0.9950980392156863,1.0,0.0,1.0,0.0,0.0,0.0,0.9779698372808686
MCL,1.0,0.9954648526077097,1.0,0.9977324263038548,1.0,0.0,1.0,0.0,0.0,0.0,0.892322057154929
Medial Meniscus,0.9975961538461539,0.9987980769230769,0.9927884615384616,1.0,1.0,0.0024038461538461453,0.4,0.2,0.2,0.2,0.9576593686984732
Lateral Meniscus,0.9726708074534162,0.9975155279503105,0.9813664596273292,0.9925465838509316,1.0,0.027329192546583836,0.4,0.2,0.2,0.2,0.9392457075270807
Medial OA,0.9984496124031007,0.9906976744186047,1.0,0.9844961240310077,1.0,0.0015503875968992942,0.4,0.2,0.2,0.2,0.9399984248929338
Lateral OA,1.0,0.9864603481624759,0.9961315280464216,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9544631179716331
PF OA,0.9935649935649936,0.9909909909909911,0.9948519948519948,0.987129987129987,1.0,0.006435006435006385,0.4,0.2,0.2,0.2,0.9511941365555866
Effusion,0.9975155279503106,0.9925465838509316,1.0,0.9925465838509318,1.0,0.002484472049689379,0.4,0.2,0.2,0.2,0.9522084936927713
Synovitis,0.98805256869773,0.9761051373954599,0.990442054958184,0.9988052568697731,1.0,0.01194743130227005,0.4,0.2,0.2,0.2,0.9605630477839323
Baker's,0.9981884057971014,0.9909420289855073,0.9963768115942029,1.0,1.0,0.0018115942028985588,0.4,0.2,0.2,0.2,0.918751811239843
Contusion,1.0,0.9932523616734142,1.0,0.9932523616734142,1.0,0.0,1.0,0.0,0.0,0.0,0.9869664031271184
Fracture,0.9888888888888889,0.9888888888888889,0.9986111111111111,1.0,1.0,0.011111111111111072,0.4,0.2,0.2,0.2,0.9133454011256199
