Target,V41_Champion_AUC,V42_Hierarchical_AUC,V42_ConvNeXt_AUC,V42_Best_Ensemble_AUC,Delta,V41_Weight,Hierarchical_Weight,ConvNeXt_Weight
ACL,1.0,0.9767156862745098,0.988970588235294,1.0,0.0,0.4,0.4,0.2
MCL,0.9886621315192743,1.0,0.9863945578231292,0.9977324263038548,0.009070294784580546,0.8,0.1,0.1
Medial Meniscus,0.9771634615384616,0.9939903846153846,0.9747596153846154,1.0,0.022836538461538436,0.5,0.3,0.2
Lateral Meniscus,0.9577639751552796,1.0,0.9950310559006211,1.0,0.04223602484472044,0.4,0.4,0.2
Medial OA,0.9891472868217054,0.9984496124031007,0.9875968992248062,0.9992248062015503,0.010077519379844913,0.8,0.1,0.1
Lateral OA,0.9729206963249517,0.988394584139265,0.9709864603481624,0.9980657640232108,0.025145067698259083,0.5,0.3,0.2
PF OA,0.9639639639639639,0.9974259974259975,0.9897039897039898,0.9961389961389961,0.03217503217503226,0.5,0.3,0.2
Effusion,0.991304347826087,0.9888198757763975,0.991304347826087,1.0,0.008695652173912993,0.5,0.3,0.2
Synovitis,0.9629629629629629,1.0,0.977299880525687,1.0,0.03703703703703709,0.4,0.4,0.2
Baker's,0.9347826086956521,0.9891304347826088,0.980072463768116,0.963768115942029,0.02898550724637694,0.8,0.1,0.1
Contusion,0.99055330634278,1.0,0.9946018893387314,1.0,0.009446693657219951,0.4,0.4,0.2
Fracture,0.9791666666666666,0.9958333333333333,0.9819444444444445,1.0,0.02083333333333337,0.4,0.4,0.2
